age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
82,2,9,6,3,1,4,0,0,4356,18,38,<=50K
54,2,4,0,6,4,4,0,0,3900,40,38,<=50K
41,2,10,5,9,3,4,0,0,3900,40,38,<=50K
34,2,9,0,7,4,4,0,0,3770,45,38,<=50K
38,2,6,5,0,4,4,1,0,3770,40,38,<=50K
74,5,16,4,9,2,4,0,0,3683,20,38,>50K
68,0,9,0,9,1,4,0,0,3683,40,38,<=50K
45,2,16,0,9,4,2,0,0,3004,35,38,>50K
38,4,15,4,9,1,4,1,0,2824,45,38,>50K
52,2,13,6,7,1,4,0,0,2824,20,38,>50K
32,2,14,5,3,1,4,1,0,2824,55,38,>50K
46,2,15,0,9,1,4,1,0,2824,40,38,>50K
45,2,7,0,13,1,4,1,0,2824,76,38,>50K
57,2,14,0,3,1,4,1,0,2824,50,38,>50K
34,2,13,5,11,1,4,1,0,2824,50,38,>50K
37,2,13,4,3,1,4,1,0,2824,40,38,>50K
29,2,7,5,11,1,4,0,0,2754,42,38,<=50K
61,2,9,0,11,4,4,0,0,2754,25,38,<=50K
51,2,10,2,13,0,4,1,0,2603,40,38,<=50K
21,2,11,2,2,0,4,1,0,2603,40,38,<=50K
33,2,2,2,2,1,4,1,0,2603,32,25,<=50K
49,2,3,2,7,0,4,1,0,2603,40,11,<=50K
37,3,6,4,13,1,4,1,0,2559,50,38,>50K
38,2,6,4,9,1,4,1,0,2559,90,38,>50K
23,2,10,5,7,1,4,1,0,2559,40,38,>50K
59,3,6,6,3,4,4,0,0,2559,50,38,>50K
52,2,15,0,3,1,4,1,0,2559,60,38,>50K
51,2,13,0,3,1,4,1,0,2559,50,38,>50K
60,4,9,4,3,1,2,1,0,2559,50,38,>50K
63,0,16,0,3,1,4,0,0,2559,60,38,>50K
53,2,9,4,11,1,4,1,0,2559,48,38,>50K
51,2,15,4,9,1,4,0,0,2559,50,38,>50K
37,4,16,4,9,1,4,0,0,2559,60,38,>50K
54,2,14,0,9,1,4,0,0,2559,40,38,>50K
44,2,13,0,3,4,4,1,0,2547,50,38,>50K
43,2,14,0,3,4,4,0,0,2547,40,38,>50K
51,2,10,0,0,4,4,0,0,2547,40,38,>50K
43,2,14,0,9,4,4,0,0,2547,40,38,>50K
48,2,13,3,11,4,4,0,0,2472,70,38,>50K
71,2,9,2,11,0,4,1,0,2467,52,38,<=50K
73,4,9,2,4,0,1,1,0,2457,40,39,<=50K
40,4,15,4,9,1,4,1,0,2444,45,38,>50K
50,2,9,6,11,1,4,0,0,2444,72,38,>50K
51,5,11,0,12,1,4,1,0,2444,39,38,>50K
42,2,10,4,3,1,4,0,0,2444,40,38,>50K
39,2,14,4,11,1,4,1,0,2444,45,38,>50K
32,2,13,4,3,2,4,1,0,2444,50,38,>50K
53,2,10,5,2,1,4,1,0,2444,45,38,>50K
40,1,10,4,10,1,4,1,0,2444,40,38,>50K
38,2,13,4,11,1,4,0,0,2444,45,38,>50K
33,2,11,5,2,1,4,1,0,2444,42,38,>50K
43,2,12,0,2,1,4,1,0,2444,70,38,>50K
50,3,7,4,3,2,4,1,0,2444,40,38,>50K
44,2,10,2,0,5,4,0,0,2415,6,38,>50K
51,4,13,2,11,0,1,1,0,2415,40,2,>50K
41,2,15,2,9,0,4,1,0,2415,40,38,>50K
37,2,14,2,3,0,4,1,0,2415,60,38,>50K
55,3,15,2,9,0,4,1,0,2415,35,11,>50K
39,3,13,2,11,0,4,1,0,2415,60,38,>50K
42,3,15,2,9,0,4,1,0,2415,60,38,>50K
49,2,13,2,11,0,4,1,0,2415,55,38,>50K
47,4,9,2,3,0,4,1,0,2415,50,38,>50K
41,1,15,2,9,0,4,1,0,2415,45,38,>50K
55,3,13,2,3,0,4,1,0,2415,50,38,>50K
39,2,14,2,3,5,4,0,0,2415,65,38,>50K
42,2,13,2,3,0,4,1,0,2415,60,38,>50K
46,2,14,2,11,0,4,1,0,2415,65,38,>50K
40,2,14,2,3,0,4,1,0,2415,45,38,>50K
32,2,13,2,9,0,4,1,0,2415,48,38,>50K
41,3,10,2,3,0,4,1,0,2415,55,38,>50K
60,3,15,2,9,0,4,1,0,2415,80,38,>50K
31,2,14,2,3,0,4,1,0,2415,70,35,>50K
58,4,10,2,4,0,4,1,0,2415,40,38,>50K
37,3,13,2,11,0,4,1,0,2415,50,38,>50K
44,4,13,2,3,0,4,1,0,2415,50,38,>50K
55,3,13,2,3,0,4,1,0,2415,50,38,>50K
44,3,14,2,9,0,4,1,0,2415,55,38,>50K
39,2,15,2,9,0,1,1,0,2415,67,18,>50K
46,4,13,2,11,0,4,1,0,2415,40,38,>50K
39,2,10,2,4,0,4,1,0,2415,99,38,>50K
62,3,13,2,4,0,4,1,0,2415,60,38,>50K
31,4,9,2,7,5,4,0,0,2415,40,38,>50K
46,2,13,2,0,0,1,1,0,2415,35,29,>50K
46,4,15,2,9,0,4,1,0,2415,80,38,>50K
39,3,11,2,2,0,4,1,0,2415,40,38,>50K
39,2,15,2,11,0,4,1,0,2415,99,38,>50K
59,2,16,2,9,0,4,1,0,2415,45,38,>50K
50,3,15,2,9,0,4,1,0,2415,60,38,>50K
46,2,16,2,9,0,4,1,0,2415,55,38,>50K
53,4,13,2,3,0,4,1,0,2415,40,38,>50K
50,4,15,2,9,0,4,1,0,2415,30,38,>50K
41,3,15,2,3,5,4,0,0,2415,55,38,>50K
36,2,13,2,11,0,4,1,0,2415,45,38,>50K
